Subject	Bernat_2019:A007	Bhiman_2015:CAP256	Bonsignori_2016:CH505	Corcoran_2016:H1	Doria-Rose_2015:CAP256	Eliyahu_2018:C10	Eliyahu_2018:C4	Eliyahu_2018:C6	Eliyahu_2018:C7	Eliyahu_2018:C9	Eliyahu_2018:CI11	Eliyahu_2018:CI13	Eliyahu_2018:CI16	Eliyahu_2018:CI20	Eliyahu_2018:CI21	Eliyahu_2018:CI26	Eliyahu_2018:CI4	Eliyahu_2018:SC1	Eliyahu_2018:SC14	Eliyahu_2018:SC15	Eliyahu_2018:SC2	Eliyahu_2018:SC3	Eliyahu_2018:SC7	Eliyahu_2018:SC8	Eliyahu_2018:SC9	Gidoni_2019:S1	Gidoni_2019:S10	Gidoni_2019:S100	Gidoni_2019:S11	Gidoni_2019:S12	Gidoni_2019:S13	Gidoni_2019:S14	Gidoni_2019:S15	Gidoni_2019:S16	Gidoni_2019:S17	Gidoni_2019:S18	Gidoni_2019:S19	Gidoni_2019:S2	Gidoni_2019:S20	Gidoni_2019:S21	Gidoni_2019:S22	Gidoni_2019:S23	Gidoni_2019:S24	Gidoni_2019:S25	Gidoni_2019:S26	Gidoni_2019:S27	Gidoni_2019:S28	Gidoni_2019:S29	Gidoni_2019:S3	Gidoni_2019:S30	Gidoni_2019:S31	Gidoni_2019:S32	Gidoni_2019:S33	Gidoni_2019:S34	Gidoni_2019:S35	Gidoni_2019:S36	Gidoni_2019:S37	Gidoni_2019:S38	Gidoni_2019:S39	Gidoni_2019:S4	Gidoni_2019:S40	Gidoni_2019:S41	Gidoni_2019:S42	Gidoni_2019:S43	Gidoni_2019:S44	Gidoni_2019:S45	Gidoni_2019:S46	Gidoni_2019:S47	Gidoni_2019:S48	Gidoni_2019:S49	Gidoni_2019:S5	Gidoni_2019:S50	Gidoni_2019:S51	Gidoni_2019:S52	Gidoni_2019:S53	Gidoni_2019:S54	Gidoni_2019:S55	Gidoni_2019:S56	Gidoni_2019:S57	Gidoni_2019:S58	Gidoni_2019:S59	Gidoni_2019:S6	Gidoni_2019:S60	Gidoni_2019:S61	Gidoni_2019:S62	Gidoni_2019:S63	Gidoni_2019:S64	Gidoni_2019:S65	Gidoni_2019:S66	Gidoni_2019:S67	Gidoni_2019:S68	Gidoni_2019:S69	Gidoni_2019:S7	Gidoni_2019:S70	Gidoni_2019:S71	Gidoni_2019:S72	Gidoni_2019:S73	Gidoni_2019:S74	Gidoni_2019:S75	Gidoni_2019:S76	Gidoni_2019:S77	Gidoni_2019:S78	Gidoni_2019:S79	Gidoni_2019:S8	Gidoni_2019:S80	Gidoni_2019:S81	Gidoni_2019:S82	Gidoni_2019:S83	Gidoni_2019:S84	Gidoni_2019:S85	Gidoni_2019:S86	Gidoni_2019:S87	Gidoni_2019:S88	Gidoni_2019:S89	Gidoni_2019:S9	Gidoni_2019:S90	Gidoni_2019:S91	Gidoni_2019:S92	Gidoni_2019:S93	Gidoni_2019:S94	Gidoni_2019:S95	Gidoni_2019:S96	Gidoni_2019:S97	Gidoni_2019:S99	Gupta_2017:Fv_volunteer	Gupta_2017:GMC_volunteer	Gupta_2017:IB_volunteer	Huang_2016:Donor-Z258	Johnson_2018:CAP256	Johnson_2018:HD1	Landais_2017:PC064	Meng_2017a:Subject-D145	Meng_2017a:Subject-D149	Meng_2017a:Subject-D168	Meng_2017a:Subject-D181	Meng_2017a:Subject-D182	Palanichamy_2014:Subject-14711	Palanichamy_2014:Subject-26712	Palanichamy_2014:Subject-29612	Palanichamy_2014:Subject-30512	Palanichamy_2014:Subject-31012	Palanichamy_2014:Subject-34012	Palanichamy_2014:Subject-43113	Palanichamy_2014:Subject-43213	Rubelt_2016:TW01A	Rubelt_2016:TW01B	Rubelt_2016:TW02A	Rubelt_2016:TW02B	Rubelt_2016:TW03A	Rubelt_2016:TW03B	Rubelt_2016:TW04A	Rubelt_2016:TW04B	Rubelt_2016:TW05A	Rubelt_2016:TW05B	Soto_2016:IAVI84	Soto_2016:N152	Stern_2014:M2	Stern_2014:M3	Stern_2014:M4	Stern_2014:M5	Tipton_2015:subject-1	Tipton_2015:subject-2	Tipton_2015:subject-3	Tipton_2015:subject-4	Tipton_2015:subject-5	Tipton_2015:subject-6	Tipton_2015:subject-7	Tipton_2015:subject-8	Turchaninova_2016:donor-1	Turchaninova_2016:donor-2	Turchaninova_2016:donor-3	Vander_Heiden_2017:AR02	Vander_Heiden_2017:AR03	Vander_Heiden_2017:AR04	Vander_Heiden_2017:AR05	Vander_Heiden_2017:HD07	Vander_Heiden_2017:HD09	Vander_Heiden_2017:HD10	Vander_Heiden_2017:HD13	Vander_Heiden_2017:MK02	Vander_Heiden_2017:MK03	Vander_Heiden_2017:MK04	Vander_Heiden_2017:MK05	Vander_Heiden_2017:MK08	Waltari_2018:AD341	Waltari_2018:AD344	Waltari_2018:BD1	Waltari_2018:BD10	Waltari_2018:BD11	Waltari_2018:BD12	Waltari_2018:BD13	Waltari_2018:BD14	Waltari_2018:BD1a	Waltari_2018:BD1h	Waltari_2018:BD2	Waltari_2018:BD2-repeat1	Waltari_2018:BD3a	Waltari_2018:BD3h	Waltari_2018:BD4	Waltari_2018:BD5	Waltari_2018:BD5a	Waltari_2018:BD5g	Waltari_2018:BD5h	Waltari_2018:BD6	Waltari_2018:BD6h	Waltari_2018:BD7	Waltari_2018:BD8	Waltari_2018:BD9	Waltari_2018:CB1	Waltari_2018:CB1g	Waltari_2018:CB2	Waltari_2018:CB3	Waltari_2018:CB4	Waltari_2018:CB5	Waltari_2018:CB5-repeat1	Waltari_2018:MT1214	Waltari_2018:MT8004	Wu_2011:Donor-74	Wu_2015:Donor-45	Zhou_2015:Donor-44	Zhou_2015:Donor-C38	Zhou_2015:Donor-RU01	Zhou_2015:Donor-RU08	Zhu_2012:Donor-39	Zhu_2013:Donor-C38
Bernat_2019:A007	2696574	108092	206420	453190	294323	111755	102918	85077	118312	107450	117405	121353	156615	99433	133712	130030	91311	124189	103482	128961	114565	150538	135037	125219	110786	179315	258409	209194	233829	263509	248854	188265	208245	222744	203480	199620	237314	196325	194181	168557	254605	234028	226316	239603	179740	274627	169271	250008	173207	236079	251261	232471	168259	225737	170177	194354	258621	251826	214718	212814	225820	203598	180777	198965	179951	231802	217048	193481	249566	172939	291310	308060	253312	255756	240813	273973	196125	289574	313851	257014	252120	273525	265222	250099	261383	199469	302672	242293	268663	294151	275579	264219	265623	245254	229681	259470	242504	253043	234500	286200	259762	218122	219358	274012	248887	236705	238689	296651	305381	258540	278110	272699	214739	277474	237046	218564	236408	148536	270416	217830	220442	138161	180481	167195	698997	666839	731280	641448	501569	665818	890549	478281	481707	542869	908697	590888	114432	65573	150786	124927	187422	131389	144171	105525	203091	168690	278485	287527	297595	246168	318893	348584	261243	222506	90560	234191	388241	366866	360919	638934	531000	562565	695589	657945	379840	341216	601947	500590	286429	219602	95019	295609	231633	360326	403257	312372	260755	272895	238145	305032	149074	184810	232336	238279	418564	670519	396826	328362	337734	390407	340340	617941	373704	620235	257148	389996	408847	581686	491131	491097	388757	449973	634773	365629	509849	516679	415989	234981	282746	67310	505050	249835	323573	271348	144769	641436	643234	128528	309793	126806	115932	105357	97800	138489	335629
Bhiman_2015:CAP256	108092	362985	76616	96976	125178	41593	38984	33173	45751	40856	43676	44941	55567	40302	51434	52385	36557	49369	42157	51670	47261	57928	51524	49766	44785	56316	64390	53124	56077	67224	61233	46321	50879	56413	49393	52154	59988	60211	52835	40718	64708	62006	57724	62709	45707	64314	42406	61409	54029	58873	63400	55250	45482	55644	46598	49524	65250	61480	55982	58411	59722	51477	46281	51821	45554	59887	60526	47991	62767	46483	68938	73280	64323	61672	60074	71161	49587	69198	79902	68507	65339	68733	68287	63376	65471	53975	74946	54112	66239	70572	68671	66426	68315	61289	56943	65190	65727	61028	61633	68128	66000	59576	55563	65850	60618	64711	62159	75664	72141	65527	66469	69532	53928	65612	61744	52938	57367	37960	71475	58574	49258	32493	40122	38518	149826	143573	153990	122947	147777	144977	174742	103354	100476	108122	171911	116670	45800	26732	56582	49256	67360	51104	55598	41521	51862	44800	71597	71015	71142	62754	75741	78037	61771	51008	22675	96412	89077	91236	95891	134555	132021	133259	145406	149823	101872	94511	141098	124898	66880	51619	22709	74455	56574	94410	108665	79654	75659	74957	70126	78324	47113	50521	69015	61883	96459	132304	91159	72914	79514	91977	74805	131206	79983	125093	61606	84874	93121	125715	107679	118428	84988	105564	130365	91313	118402	110724	94512	60696	56277	22440	95998	52331	65023	53252	33667	130028	133988	32069	65584	34091	71723	29012	27223	48195	93964
Bonsignori_2016:CH505	206420	76616	911389	206008	208098	91451	83918	67807	91909	85983	92264	91291	123495	78650	102870	98769	74387	95579	81047	99364	88636	111711	99120	97406	85402	107210	128791	98339	113946	133430	118307	87090	93959	105279	93830	93517	113072	113917	98190	76288	129250	122491	114211	118033	89167	131875	81367	117548	102943	113441	123206	110113	83477	104676	87523	91503	123840	125769	106212	115039	114629	97682	85050	99390	86640	112320	111768	87902	120251	86804	137368	148548	125594	125383	116436	135355	91698	138485	155366	130214	124269	131083	135714	124428	131689	102765	143740	108108	132910	138386	132735	131465	139586	118276	108164	128184	120228	124125	117496	138839	127402	109120	107641	129130	116658	122654	121107	147142	143796	122576	133534	136491	101400	132841	118347	102870	107148	71167	137893	111652	95560	62510	78100	73807	326188	308476	342872	288991	179864	289936	409869	238219	226054	255663	391706	277107	83493	47618	115982	91858	134215	98743	104319	73984	112835	99971	154399	157336	148885	127769	162984	172759	138321	116886	64733	160070	201257	200704	200144	302029	299166	301543	341901	344295	218828	210272	320970	284322	151211	112736	53587	148848	113755	191861	213555	152934	138443	137697	125998	147013	82055	97991	143256	126866	210999	293635	204938	166732	158827	193469	169432	288199	181478	279335	141290	184125	212525	289933	240532	253444	193132	218922	279996	197283	244092	239402	221601	125697	123406	43940	218413	111443	144319	118503	72223	290036	307455	91142	191089	82061	81906	71288	67461	111979	221192
Corcoran_2016:H1	453190	96976	206008	3141354	284506	113429	103989	85298	121874	107220	120285	125848	158330	102010	135767	132781	92929	126154	100135	129788	115878	156895	141119	122506	110244	189403	283855	226428	267721	302109	284679	213707	222441	256203	223529	214285	267929	218030	217467	188091	296666	272729	262890	270860	202753	311057	188088	270339	191176	264548	293638	248188	185304	257442	195246	218681	294194	289795	240138	236558	254899	235510	201245	222672	199577	265712	228933	208132	282800	190420	346042	363407	302252	298738	264938	307792	209756	344455	363102	295716	287442	312586	305433	297156	314622	224494	344102	272824	298873	340624	320237	300788	303741	282022	260115	294600	261857	297184	266365	336023	289302	238078	248533	323529	274375	270477	271461	336148	340141	285976	318435	306783	233293	316273	271929	247115	259350	162543	307205	246254	252931	150643	194389	178668	719915	704727	790747	679766	493853	752063	925344	487263	482365	570004	988109	611734	113847	65122	146626	125619	179974	131438	140125	102398	241186	195882	318473	332243	346352	289355	366972	415092	323257	281892	101823	213516	438912	396900	372858	674847	572423	618654	768620	719288	409999	369214	613637	510743	312265	240598	107858	298227	254904	400998	409853	314808	275509	286286	246087	307216	159758	202184	246770	252356	482430	716485	471108	334220	338615	392214	342904	646359	367891	743057	262771	390331	401496	641006	497085	565574	377189	451597	752028	384145	524097	515435	461102	238763	336940	71222	633788	291878	398322	333810	173123	680564	672337	148136	366849	155774	102666	120296	118880	138638	380806
Doria-Rose_2015:CAP256	294323	125178	208098	284506	1586970	109408	95428	77838	108929	101524	108456	107193	153334	92634	123593	120348	87970	116784	100133	121321	104607	133922	118555	120285	102972	131788	166066	131206	147880	171634	156992	115668	127883	140829	124108	125341	148576	144656	127455	103744	168232	156734	148200	157121	114491	170610	107648	153716	130970	150034	161649	141372	108868	142318	112756	122347	163434	160366	139778	145591	146263	128191	114281	126789	113212	148247	149901	118726	158228	110310	183175	195182	162834	159808	148936	177091	121212	181788	209222	172701	164627	174695	175701	160856	169279	129834	192770	144081	172628	185031	177150	168593	176623	154853	142909	163638	160521	160830	153111	181445	165114	143751	141627	171032	152788	159346	153130	197278	187774	164689	173319	176995	134164	174749	153621	136586	144872	94428	180976	144236	131272	83636	103719	97863	502318	463346	522946	461334	328131	448388	653443	362619	352968	385207	620198	434430	107637	61263	148551	116337	178256	126584	137263	97613	145004	125420	202221	209699	200880	168148	224357	239309	183678	152116	95403	228843	286606	289177	291119	472981	433884	448953	527071	529291	302144	293132	485539	427878	202759	152599	63837	207853	158271	258748	300649	220642	187300	189601	172370	208387	108279	127280	181968	172356	296089	459885	279513	241683	233185	288412	247876	436305	274031	408243	195258	275674	312624	414682	357422	356652	287885	329219	415661	275947	360725	365783	308835	173010	174735	52604	311727	157707	203461	168743	96271	453761	475452	131066	284529	116465	114555	92802	93523	149860	318520
Eliyahu_2018:C10	111755	41593	91451	113429	109408	374297	58910	48677	62728	60182	64269	62052	81514	54719	66482	67279	52748	67130	58409	68787	58518	72921	65083	66332	57880	64032	72950	62129	66967	74547	70692	57325	60598	66471	59237	60087	68085	69582	62180	52724	74171	69671	67552	70458	57179	75042	54361	67506	66201	68134	71869	63737	55358	67244	55492	59563	70951	70387	66200	68461	67051	62631	56928	60805	56578	68138	69305	57405	69747	55366	78707	81097	71583	71706	68290	78055	58178	77884	86965	78525	73434	74317	76410	71973	73622	63585	82233	65473	73126	77889	76773	70861	76353	69150	67598	71123	72216	71145	71707	78339	73243	69178	66333	75709	68941	70993	68313	86087	77855	73748	75186	76836	64170	77282	68679	65287	66961	49740	81387	67754	63529	44727	52372	50743	169815	159781	175234	159269	78115	141899	193937	137405	129928	141755	191664	153580	54929	33774	72338	60157	82989	66289	66380	51283	68825	63491	87871	91729	86854	76293	95989	99824	83838	73778	45143	78600	118869	118477	121846	167387	142769	149194	163060	162623	104422	106586	150848	137406	92732	73679	39292	93029	75332	108125	120904	95949	87110	86069	82026	90939	57165	63680	84699	81854	118891	160643	108389	102493	95960	115132	101723	152814	107375	141201	88689	109253	120869	146216	136148	134618	116059	126671	146234	118411	138863	137791	122477	82065	76178	32456	115654	70776	85460	75794	50698	157647	164773	57658	101765	48361	44516	40902	43311	59535	117778
Eliyahu_2018:C4	102918	38984	83918	103989	95428	58910	311387	46727	59255	55383	60804	60284	73632	52800	64664	61218	50085	61785	52288	63998	55794	70096	63756	61047	55965	64195	71217	58725	64819	72750	67895	55088	58320	61704	56757	57099	66025	68652	58423	49663	71535	66380	64906	66736	55002	73765	51170	67376	64250	64919	69831	63883	52858	62460	53332	56285	68491	69542	62497	68920	65150	59319	52952	58790	54326	64298	66034	54865	67411	54179	75325	80566	69156	70582	68219	76207	56196	75309	83138	75079	71123	72381	74145	68672	70993	61703	77512	63835	72090	73724	73917	70409	74607	67249	64111	70771	69597	69089	68981	75690	71324	66622	63907	72471	67401	68391	66802	81471	77544	70167	73141	75229	61840	75196	66084	61920	63931	47517	77678	65545	57932	42173	51169	48713	145764	140521	152704	133701	69762	124400	165383	120404	113244	125726	165729	132227	51852	31761	66043	56586	75269	60140	61028	46316	65777	59952	81892	84398	82316	72868	87809	91280	77010	67814	36690	73860	105668	104002	105399	140345	128114	130932	142301	142041	100250	97407	133232	120980	86642	67738	37853	86222	67956	100733	109185	87359	79908	79265	73962	85076	53160	59618	78618	73487	108414	136026	101744	91103	85481	99287	87701	134048	92223	127897	79981	95946	105159	130325	116571	122510	98762	109067	130137	104794	121418	118984	108788	74211	69637	31332	106014	65671	78532	68781	47287	134340	140453	47364	84924	40328	40614	35002	34892	56082	101733
Eliyahu_2018:C6	85077	33173	67807	85298	77838	48677	46727	240398	50603	47822	50506	50443	60850	44687	52881	53899	43044	51389	43565	53735	48075	57477	53075	51637	46710	55375	62020	51407	56824	62710	58694	46404	50472	52972	47946	49993	56679	58309	51341	43047	62269	58852	55750	58250	47828	63600	43560	58472	55220	58588	59463	56498	45890	52094	46181	47553	59491	59318	55241	58955	55983	50637	46279	50981	45946	56362	57716	47942	57831	46370	64122	67616	59382	59483	57660	64832	48785	64033	70766	62025	60426	61711	63628	58776	60624	52186	68776	53589	63345	66054	62841	61166	64754	57871	56263	61367	59561	59939	59045	64713	62069	57230	54378	61724	57817	58900	58964	68403	66263	62090	61951	64291	53014	62405	59228	52845	55288	39471	64877	57175	49950	36819	43107	41989	114546	111377	119043	101720	56035	99477	129163	93931	90726	97326	129228	103866	43785	27624	55044	49109	63205	50062	51701	39673	56183	52160	67899	69644	67729	60935	74372	76642	63400	56588	31873	60051	84506	82594	84523	108848	102447	104651	112655	112368	81055	78763	105041	96605	68811	55750	32493	69121	56712	81820	89617	68547	65279	64079	62645	68616	43820	52165	66689	60610	89136	105507	86668	72613	69191	77318	71172	106037	72952	105564	64270	75539	81590	104247	91395	99191	76075	85522	104171	82483	94451	93690	87544	59679	59894	28365	89822	55045	65719	57073	40256	104776	109426	40408	71752	36003	34202	33154	31517	47477	86000
Eliyahu_2018:C7	118312	45751	91909	121874	108929	62728	59255	50603	389848	62316	65536	67425	81054	58222	71594	70802	54620	67964	55485	70423	64399	79775	73805	66379	61786	74210	86005	68866	80173	89675	82663	63372	66608	73685	64154	67517	79728	82426	71080	56261	87226	83069	77804	81905	65330	88711	59541	79629	74904	80531	85975	74900	60981	71683	64152	64800	84180	84805	75404	83670	78984	70334	61867	70818	61475	78778	75388	64046	82945	62472	93259	99814	86885	87219	80711	90867	64746	94827	102225	87809	85536	89589	92478	85727	90225	71517	97321	72362	88286	93844	90314	87661	89873	83269	77326	86570	83953	87062	82207	94041	85896	77570	75625	89604	82322	85234	82292	96518	95270	85202	88871	91462	70980	87391	83490	73399	75571	51979	93499	76953	66882	46602	56280	54149	162578	158952	175380	143032	86212	145048	186498	125822	119861	132999	188781	140957	57048	34242	71174	63163	81559	65317	67999	49908	74232	67587	92863	94947	92836	83647	99848	104202	87172	77577	40715	85402	118356	114662	114442	154197	150755	151776	165259	168136	117270	111989	153661	137152	90326	71662	40839	93172	75267	115749	122647	92213	89850	87556	82225	90652	57490	68143	87338	79635	124773	152359	123302	96355	92011	105975	94129	150582	96952	152539	84419	102468	110047	148239	128253	145692	103022	118209	152808	115335	136194	130644	122180	79428	79481	34347	128443	75225	90705	77850	52817	150734	158394	55178	103729	52800	47637	44411	43781	63374	122713
Eliyahu_2018:C9	107450	40856	85983	107220	101524	60182	55383	47822	62316	348052	60368	60543	75870	53470	66460	65604	50988	62310	54765	65090	59038	69993	64722	62929	58238	65455	75316	62491	67916	75187	70012	56462	60778	64481	59280	60019	68028	69230	61039	51341	73868	69616	66672	69278	57475	77352	53175	70863	65548	68995	71519	65969	54994	64477	55492	57372	71606	71671	65304	68981	66997	61550	55352	61736	55734	67347	69493	58023	69225	55138	77960	81830	70467	71550	68220	77888	59109	76547	85790	75668	73410	75266	76717	70196	72544	63195	81501	65506	76171	77718	75917	73210	77026	68923	67071	73465	72320	71427	70450	78867	73677	67997	65983	73723	69429	69943	70234	82211	79684	73353	75495	78004	64516	77274	69325	63835	67396	48235	79334	67933	61346	44084	52137	50949	152179	145551	158106	142316	75048	133264	174019	122262	116707	126691	173049	135981	52790	32306	67715	58515	77547	60918	63026	47574	68676	62404	83929	87017	85103	75501	91773	95754	79949	70541	37226	77131	109861	107371	108891	146959	133471	137765	150659	149830	103265	100309	140683	127661	86271	69877	38505	87296	70691	101336	111609	87069	80108	79438	76121	85883	52688	61991	81531	75226	112138	141525	106409	95709	89449	101443	93725	141052	96789	135191	81136	98241	106419	134919	122727	126823	102983	113469	136744	105896	124219	124578	112897	75131	73998	32513	111892	69083	82571	71446	48439	142842	147027	49261	88699	42252	43149	38474	37009	57692	106620
Eliyahu_2018:CI11	117405	43676	92264	120285	108456	64269	60804	50506	65536	60368	352594	67367	81847	57012	71957	69082	55167	67757	57018	69674	60728	77188	71097	67148	62179	70127	80179	65419	73938	82555	77989	61995	65452	69824	63000	63951	75115	76672	65936	55845	80266	75023	72350	75463	63039	83187	57956	75635	71282	74203	78853	70500	59593	70533	60132	62526	77586	78011	70566	77081	72015	67797	59601	65902	60897	73559	73522	61630	76425	59522	85834	91419	78481	80217	75733	85602	62543	85504	95050	83827	80505	82041	84587	77672	80897	68295	88447	72152	81622	84204	83733	80191	83418	75934	73401	79897	78608	79344	77666	87155	80273	74708	72303	82804	77001	77621	74434	91292	88134	80646	80765	83889	69473	85263	75411	70175	72617	52988	87563	74259	66851	47139	57828	54239	164190	158638	173057	149420	81189	143246	185268	133590	124994	136804	188160	147039	58568	34659	74159	63398	85244	67537	68547	52065	74172	67576	90936	94467	94228	83033	98575	103647	86158	76484	43211	81515	120700	117180	119701	159424	145370	149383	162214	162973	113705	109621	149512	136170	94839	74429	41367	96608	75371	111817	121995	96664	89260	89005	83023	94132	58651	65724	87941	81026	122924	153893	114494	99698	96847	109807	98082	149938	102189	145882	87608	106500	115939	145186	129642	139162	109252	123678	149465	116942	136694	132864	121878	81781	79311	34185	120136	74755	88360	77991	52631	151836	158459	56470	99040	50260	45922	41943	43318	59739	118660
Eliyahu_2018:CI13	121353	44941	91291	125848	107193	62052	60284	50443	67425	60543	67367	374470	79818	58502	72824	70081	54549	68230	54625	70047	63585	80581	75479	66722	63751	76766	88147	69961	82178	92190	84407	63803	66588	74117	63787	67467	81776	85365	72344	56022	89237	84747	79163	82216	66731	92977	58711	81394	76506	80615	88933	76747	60405	71734	65515	64564	85619	88091	76486	88431	80387	70691	61290	71885	60702	80524	74937	64030	84875	62898	96460	105470	89972	91475	83909	93402	64620	98384	104795	89779	87605	92441	94891	88611	92944	72544	99159	73423	89816	96077	93264	91447	91446	85365	78429	89643	84993	90170	82446	98338	88281	78460	76840	91692	84715	87840	85216	98723	99321	85660	90338	93989	72102	90560	86132	74065	76111	51858	95301	79903	66037	46221	57183	53999	162856	160389	176832	136356	85451	145146	182825	126428	119427	133039	189868	140863	58110	35237	70488	64269	82755	66390	68097	51256	74796	67856	92249	93968	94457	84932	99775	103668	86423	77280	42022	84477	117099	112477	112827	151782	151559	152083	163835	166049	118384	110441	148043	134568	88608	70301	41077	93389	74587	118248	123899	92332	91537	87525	82640	90877	57277	67743	86921	78212	127555	149902	123174	93638	91103	102521	91642	149591	92573	151223	83489	99999	105912	146294	123679	148442	99286	117092	154344	114712	135772	128914	119847	77986	77652	34474	129389	73735	88109	77286	53033	148121	155785	57160	107534	57167	46865	48605	47688	61223	127338
Eliyahu_2018:CI16	156615	55567	123495	158330	153334	81514	73632	60850	81054	75870	81847	79818	558275	69001	86712	85166	65665	84425	71523	86467	74745	95148	84339	85067	74609	85618	101842	83267	93196	102971	97209	76390	82302	87692	78522	80655	93133	93664	82692	68532	101534	93673	91486	96055	76283	104189	71345	94918	87894	93960	98725	88127	73105	89196	74004	77868	96796	97622	88814	94306	90525	83155	74312	81739	74942	91208	94509	77551	95649	73242	108803	115048	98494	100542	93475	107100	78777	108492	122241	107073	100835	104333	106941	98067	101429	84700	113159	89337	103503	107833	105972	99318	104410	95091	90875	97982	100209	98586	97017	110192	100377	93449	90252	104010	96247	97634	93532	118260	109864	101460	103711	106615	86545	106838	94142	87772	92205	64546	112071	90697	83835	58017	69974	67669	235501	224572	248872	219982	112564	202697	277102	187646	178520	195057	274144	211625	69904	40411	94178	77327	109442	83463	86391	62094	93120	84068	119036	124249	119969	104190	131828	138859	112615	97792	56859	110511	164123	161950	165311	230682	206849	212525	236528	236633	152834	152797	220367	199850	124328	96515	49338	126041	98062	146625	163113	126794	114040	113751	106003	122209	71750	82059	113377	106069	165748	221410	151669	137704	127580	153793	134167	212982	144257	200898	117201	147295	163417	204881	183088	190077	153854	172059	207180	158533	189228	188737	168706	105798	102766	40040	161837	95190	116426	100600	64781	219798	228829	74251	140562	65324	59106	54543	55909	80730	163785
Eliyahu_2018:CI20	99433	40302	78650	102010	92634	54719	52800	44687	58222	53470	57012	58502	69001	294273	63602	60657	47769	59066	49365	60350	56161	68516	62943	57592	53806	66414	74815	61432	67407	77882	71366	55626	59094	64109	57567	59190	69388	71898	62195	50070	75776	72275	68928	71194	56755	77004	51629	69599	65376	68002	74131	65782	53482	63222	56525	57760	73068	73621	65757	72100	69227	61317	54524	62234	54192	68202	66102	56240	71585	56651	79556	84977	74230	74147	70718	79481	57587	80597	87538	76314	74026	77588	79495	73878	76477	63267	82156	63949	76583	79633	77753	76369	78813	71567	66131	74757	72802	73430	70512	79698	74988	67589	65839	76572	70250	74344	72218	82945	81957	72667	76893	79719	63084	76261	71372	64214	65642	46879	80065	68176	58180	42358	50443	48636	134267	131455	142607	117231	71761	120632	152001	106317	100408	111476	152634	117097	50357	31883	61419	55122	70770	57799	58632	44753	64414	59393	78808	80399	78793	70900	83393	86050	73517	65932	38172	71130	98754	96159	96143	126661	123551	123888	134565	135210	99322	94762	124604	113228	76415	62047	36075	79609	66078	99389	104323	79928	78432	75761	71632	78914	51975	60064	75852	69607	105023	124212	102832	82117	78400	88881	80145	124388	81551	125707	72635	85801	92431	123037	106411	120606	86329	99710	125833	96382	112567	107814	101601	68015	68113	31721	107186	64161	76544	67127	47342	123518	128860	49584	88871	46618	41186	40360	39236	53303	104234
Eliyahu_2018:CI21	133712	51434	102870	135767	123593	66482	64664	52881	71594	66460	71957	72824	86712	63602	437792	77140	58535	72197	62244	75592	68612	85413	80996	71493	69478	80842	92084	74483	82956	94328	87221	69012	72971	78519	72292	71278	84568	87289	73813	62739	92214	86133	82841	85733	70150	96662	63043	86229	79521	82601	90352	81064	65695	78503	67787	70548	90194	91002	79034	87808	82507	75621	66448	74941	67903	83091	82271	68886	86526	66995	99185	106076	89036	90134	86751	98088	69625	98331	108743	94516	91485	94457	96330	88424	91880	76917	101043	82352	93267	96353	96876	92999	97500	86846	82121	92779	89367	89848	86900	99739	93569	83824	80837	94083	86297	87515	86070	103862	102581	89013	94467	97949	77263	97621	86118	79270	81283	58365	98755	84636	73665	52244	64156	59594	188048	181015	196510	170152	101283	170763	214607	147983	139328	153639	214980	166157	63842	37649	79194	69682	93700	73213	74384	56597	81402	73279	101642	105592	105030	93472	109117	114376	94829	83472	46296	95048	137026	130271	129058	180783	169511	171823	186291	188187	133152	123851	172689	156745	103190	82238	43995	105594	84028	128419	137933	107501	99020	97749	92133	105039	64144	73492	96589	88019	137598	173171	130946	111731	107538	120610	108936	171875	111881	168769	95165	117258	128303	167745	144978	160232	118343	138398	173374	127056	152819	147088	136410	90488	89835	37115	141097	84095	100748	87817	57920	171524	178412	62615	113232	56519	53736	48928	48819	66819	136780
Eliyahu_2018:CI26	130030	52385	98769	132781	120348	67279	61218	53899	70802	65604	69082	70081	85166	60657	77140	430824	57572	72720	61238	75868	68631	83369	77807	70720	65238	78645	89728	72917	82563	93180	87678	66561	70542	79181	67886	70546	85571	86306	74959	60397	92483	88088	81743	85592	67907	93700	61076	84308	80142	85699	90148	79761	64551	76354	67128	68232	88691	87850	79898	86234	82496	74602	65627	73532	63675	84927	81829	67529	87934	65222	98429	104111	91673	89310	84308	98578	67766	100331	108425	93346	89471	93590	95774	90489	93974	75471	104770	75351	93492	100572	94847	91507	94775	86247	82284	90938	87369	89386	86055	98131	90774	82348	78893	93481	85564	89311	87180	102303	100338	90913	92820	96003	74516	91638	88758	76355	79861	55070	98180	83969	70855	49738	58613	56920	185352	178822	196128	161845	104214	163489	210726	144508	135325	147995	216889	161840	61384	37426	77133	69069	90069	71022	72114	55130	79181	72150	97086	100424	98043	87129	108272	112558	92169	81014	48438	91487	129435	126410	129951	178107	165253	169461	183583	185902	124869	120405	168971	152558	96282	78832	41432	100350	82156	126572	138397	101936	97622	95365	93018	99608	62238	74192	94639	85944	138624	169693	132124	107535	103967	117679	105698	169503	108884	167536	90730	111958	121184	162380	142921	159701	113867	133603	169472	125234	151441	144012	131412	85811	86128	36485	139487	80829	96719	82844	55534	170386	175898	64241	118273	62115	54897	51680	52410	63557	138536
